"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890565200801181228",2,"C0514",0,0.4625,0.0795,0.458
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890618200801181227",2,"C0815",0,0.43575,0.08625,0.478
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890810200801181224",2,"C0827",0,0.43825,0.29225,0.2695
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891081200801181221",2,"C0163",0,0.46525,0.0815,0.45325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890051200801181234",2,"C0577",0,0.4315,0.1525,0.416
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891012200801181221",2,"C1405",0,0.40125,0.288,0.31075
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890779200801181225",2,"C0243",0,0.4275,0.136,0.4365
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891164200801181220",2,"C1035",0,0.41875,0.27375,0.3075
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890124200801181233",2,"C1063",0,0.39675,0.2905,0.31275
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890870200801181223",2,"C0914",0,0.3985,0.27425,0.32725
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890163200801181233",2,"C0677",0,0.37925,0.28575,0.335
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890942200801181223",2,"C1304",0,0.4475,0.124,0.4285
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891393200801181216",2,"C0469",0,0.4765,0.08375,0.43975
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890439200801181229",2,"C0602",0,0.4425,0.12625,0.43125
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890611200801181227",2,"C0237",0,0.429,0.267,0.304
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891512200801181215",2,"C1530",0,0.38325,0.30025,0.3165
